2, 0x7a00, 0x5f70, 0x7f40, 0x70, 0x70, -13.4913, 1
2, 0x5a00, 0x7f40, 0x7f40, 0x40, 0x40, -13.6194, 1
2, 0x5a00, 0x7f40, 0x7f40, 0x20, 0x30, -14.0569, 1
2, 0x7b00, 0x5ef1, 0x7f40, 0xf1, 0xb1, -14.3432, -1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0x8f, -14.4735, 1
2, 0x7b00, 0x5ef1, 0x7f40, 0xf1, 0xa1, -14.6564, -1
2, 0x5200, 0x5f70, 0x7f40, 0x70, 0x70, -14.6613, -1
2, 0x5300, 0x7ac7, 0x7f40, 0xc7, 0xc5, -14.6724, -1
2, 0x5200, 0x7b46, 0x7f40, 0x46, 0x44, -14.7592, -1
2, 0x5b00, 0x724b, 0x7f40, 0x4b, 0x4f, -14.7592, 1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xf5, -14.7772, 1
2, 0x7200, 0x7f40, 0x7f40, 0x40, 0x40, -14.7893, 1
2, 0x7a00, 0x5f70, 0x7f40, 0x10, 0x10, -14.8357, -1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0xcf, -14.8389, -1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0xce, -14.8643, 1
2, 0x5b00, 0x7ec1, 0x7f40, 0xc1, 0xc1, -14.8715, -1
2, 0x7200, 0x5b76, 0x7f40, 0x76, 0x76, -14.8837, -1
2, 0x7b00, 0x527b, 0x7f40, 0x7b, 0x7a, -14.8837, -1
2, 0x5b00, 0x7b46, 0x7f40, 0x46, 0x44, -14.9112, 1
2, 0x7a00, 0x5f70, 0x7f40, 0x10, 0x18, -14.9536, 1
2, 0x7b00, 0x7ac7, 0x7f40, 0xc7, 0xc5, -14.9944, 1
2, 0x5200, 0x7b46, 0x7f40, 0x46, 0x64, -15.0199, 1
2, 0x7b00, 0x5b76, 0x7f40, 0x76, 0x76, -15.0357, 1
2, 0x7b00, 0x527b, 0x7f40, 0x7b, 0x7b, -15.0487, 1
2, 0x7a00, 0x7f40, 0x5f70, 0x20, 0x30, -15.0569, -1
2, 0x7a00, 0x5f70, 0x7f40, 0x20, 0x30, -15.0569, 1
2, 0x7a00, 0x7b46, 0x7f40, 0x46, 0x44, -15.0811, 1
2, 0x5b00, 0x5af7, 0x7f40, 0xf7, 0xf5, -15.0991, 1
2, 0x7b00, 0x527b, 0x7f40, 0x7b, 0x53, -15.1082, -1
2, 0x5200, 0x77cc, 0x7f40, 0xcc, 0xc8, -15.1516, -1
2, 0x7b00, 0x5ef1, 0x7f40, 0xf1, 0xb9, -15.1594, 1
2, 0x5300, 0x7ac7, 0x7f40, 0xc7, 0xa5, -15.1624, -1
2, 0x5b00, 0x7b46, 0x7f40, 0x46, 0x64, -15.1719, -1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xa7, -15.1943, 1
2, 0x5b00, 0x7dc3, 0x7f40, 0xc3, 0x83, -15.1971, 1
2, 0x7a00, 0x5f70, 0x7f40, 0x70, 0x50, -15.2044, 1
2, 0x5a00, 0x5b76, 0x7f40, 0x76, 0x76, -15.2056, -1
2, 0x7200, 0x7f40, 0x7f40, 0x20, 0x30, -15.2269, 1
2, 0x7b00, 0x5ef1, 0x7f40, 0xf1, 0xd1, -15.2697, 1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0x8e, -15.2772, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xba, -15.2772, 1
2, 0x7b00, 0x5ef1, 0x7f40, 0xf1, 0x99, -15.289, 1
2, 0x5200, 0x7b46, 0x7f40, 0x46, 0x45, -15.303, -1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0x8a, -15.3117, 1
2, 0x7b00, 0x527b, 0x7f40, 0x1b, 0x12, -15.3205, 1
2, 0x5200, 0x7b46, 0x7f40, 0x46, 0x46, -15.3382, -1
2, 0x7a00, 0x7b46, 0x7f40, 0x46, 0x64, -15.3418, -1
2, 0x7b00, 0x5874, 0x7f40, 0x74, 0x74, -15.3625, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xaa, -15.3652, -1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xb3, -15.3652, -1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xbb, -15.3652, 1
2, 0x5b00, 0x724b, 0x7f40, 0x4b, 0x6a, -15.3743, -1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xbd, -15.3835, 1
2, 0x7a00, 0x5f70, 0x7f40, 0x70, 0x58, -15.3996, 1
2, 0x7a00, 0x5f70, 0x7f40, 0x70, 0x78, -15.3996, 1
2, 0x7200, 0x5b76, 0x7f40, 0x76, 0x75, -15.4113, -1
2, 0x7300, 0x567d, 0x7f40, 0x7d, 0x79, -15.4373, -1
2, 0x7b00, 0x527b, 0x7f40, 0x7b, 0x52, -15.4493, 1
2, 0x7b00, 0x527b, 0x7f40, 0x7b, 0x5f, -15.4493, 1
2, 0x5b00, 0x7b46, 0x7f40, 0x46, 0x45, -15.455, 1
2, 0x7b00, 0x5ef1, 0x7f40, 0x91, 0x99, -15.4692, 1
2, 0x5300, 0x73ca, 0x7f40, 0xca, 0x8f, -15.4735, 1
2, 0x7a00, 0x77cc, 0x7f40, 0xcc, 0xc8, -15.4735, 1
2, 0x7b00, 0x7ac7, 0x7f40, 0xc7, 0xa5, -15.4843, 1
2, 0x5b00, 0x724b, 0x7f40, 0x4b, 0x4a, -15.4882, -1
2, 0x5b00, 0x7b46, 0x7f40, 0x46, 0x46, -15.4902, 1
2, 0x5300, 0x5ef1, 0x7f40, 0xf1, 0xb1, -15.5132, 1
2, 0x5b00, 0x5af7, 0x7f40, 0xf7, 0xa7, -15.5162, 1
2, 0x5a00, 0x7f40, 0x7f40, 0x40, 0x68, -15.5309, -1
2, 0x5b00, 0x7ec1, 0x7f40, 0xc1, 0xe1, -15.5424, -1
2, 0x7b00, 0x527b, 0x7f40, 0x1b, 0x1a, -15.5488, -1
2, 0x7b00, 0x5b76, 0x7f40, 0x76, 0x75, -15.5633, 1
2, 0x5b00, 0x7ec1, 0x7f40, 0xc1, 0xf1, -15.5656, 1
2, 0x7b00, 0x5ef1, 0x7f40, 0xf1, 0xc1, -15.5656, 1
2, 0x7300, 0x567d, 0x7f40, 0x7d, 0x5d, -15.588, -1
2, 0x7300, 0x5af7, 0x7f40, 0xf7, 0xbf, -15.6013, -1
2, 0x7200, 0x5b76, 0x7f40, 0x76, 0x7a, -15.612, 1
2, 0x5200, 0x77cc, 0x7f40, 0xcc, 0xcc, -15.6214, 1
2, 0x7a00, 0x7b46, 0x7f40, 0x46, 0x45, -15.625, 1
2, 0x7200, 0x5b76, 0x7f40, 0x16, 0x14, -15.6337, -1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0x9a, -15.6446, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xbf, -15.6446, 1
2, 0x7200, 0x5b76, 0x7f40, 0x76, 0x5f, -15.6557, 1
2, 0x5b00, 0x7ec1, 0x7f40, 0xa1, 0xf1, -15.6564, 1
2, 0x7a00, 0x7b46, 0x7f40, 0x46, 0x46, -15.6601, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xda, -15.6668, -1
2, 0x5300, 0x764d, 0x7f40, 0x4d, 0x6d, -15.6696, 1
2, 0x5a00, 0x73ca, 0x7f40, 0xca, 0x8c, -15.6894, -1
2, 0x7200, 0x57fc, 0x7f40, 0xfc, 0xb8, -15.6908, -1
2, 0x5b00, 0x5af7, 0x7f40, 0xf7, 0xbd, -15.7054, 1
2, 0x5a00, 0x73ca, 0x7f40, 0xaa, 0xea, -15.7065, 1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xaf, -15.7123, -1
2, 0x7a00, 0x53fa, 0x7f40, 0xfa, 0xbe, -15.7123, 1
2, 0x5b00, 0x7ec1, 0x7f40, 0xa1, 0xe1, -15.7202, -1
2, 0x7a00, 0x5f70, 0x7f40, 0x70, 0x74, -15.7268, 1
2, 0x7a00, 0x5f70, 0x7f40, 0x70, 0x7a, -15.7268, -1
2, 0x5a00, 0x5b76, 0x7f40, 0x76, 0x75, -15.7332, -1
