3, 0x91ec5a00, 0x81800000, 0xa1a00020, 0x00000020, 0x30, -28.5488, 1
3, 0x91ec5a00, 0xe1a00000, 0xc1800020, 0x00000020, 0x30, -28.5488, -1
3, 0xa1ec5a00, 0x81800000, 0xa1a00020, 0x00000020, 0x30, -27.1341, 1
3, 0xa1ec5a00, 0xe1a00000, 0xc1800020, 0x00000020, 0x30, -27.1341, -1
3, 0xc1ec5a00, 0x81800000, 0xa1a00020, 0x00000020, 0x30, -26.5488, 1
3, 0xc1ec5a00, 0x81800000, 0xf1900020, 0x00000020, 0x30, -29.5488, -1
3, 0xc1ec5a00, 0xb1900000, 0xc1800020, 0x00000020, 0x30, -29.5488, -1
3, 0xc1ec5a00, 0xd1b00000, 0xa1a00020, 0x00000020, 0x30, -29.5488, 1
3, 0xc1ec5a00, 0xe1a00000, 0x91b00020, 0x00000020, 0x30, -29.5488, 1
3, 0xc1ec5a00, 0xe1a00000, 0xc1800020, 0x00000020, 0x30, -26.5488, -1
3, 0xf1ec5a00, 0x81800000, 0xf1900020, 0x00000020, 0x30, -30.1352, 1
3, 0xf1ec5a00, 0xb1900000, 0xc1800020, 0x00000020, 0x30, -30.1352, 1
3, 0xf1ec5a00, 0xd1b00000, 0xa1a00020, 0x00000020, 0x30, -30.1352, -1
3, 0xf1ec5a00, 0xe1a00000, 0x91b00020, 0x00000020, 0x30, -30.1352, -1
3, 0x81ec5a00, 0x81800000, 0x81a00030, 0x00000030, 0x20, -25.1338, 1
3, 0x81ec5a00, 0x81800000, 0xd1900030, 0x00000030, 0x20, -28.5488, -1
3, 0x81ec5a00, 0xd1b00000, 0x81a00030, 0x00000030, 0x20, -28.5488, 1
3, 0x81ec5a00, 0xe1a00000, 0xe1800030, 0x00000030, 0x20, -27.1341, 1
3, 0xb1ec5a00, 0x81800000, 0x81a00030, 0x00000030, 0x20, -28.5488, -1
3, 0xb1ec5a00, 0xb1900000, 0xe1800030, 0x00000030, 0x20, -29.1352, 1
3, 0xb1ec5a00, 0xe1a00000, 0xb1b00030, 0x00000030, 0x20, -29.1352, -1
3, 0xb1ec5a00, 0xe1a00000, 0xe1800030, 0x00000030, 0x20, -28.5488, -1
3, 0xd1ec5a00, 0x81800000, 0x81a00030, 0x00000030, 0x20, -27.5488, -1
3, 0xd1ec5a00, 0x81800000, 0xd1900030, 0x00000030, 0x20, -30.1352, 1
3, 0xd1ec5a00, 0xb1900000, 0xe1800030, 0x00000030, 0x20, -30.1352, -1
3, 0xd1ec5a00, 0xd1b00000, 0x81a00030, 0x00000030, 0x20, -30.1352, -1
3, 0xd1ec5a00, 0xe1a00000, 0xb1b00030, 0x00000030, 0x20, -30.1352, 1
3, 0xe1ec5a00, 0x81800000, 0x81a00030, 0x00000030, 0x20, -26.5488, -1
3, 0xe1ec5a00, 0x81800000, 0xd1900030, 0x00000030, 0x20, -29.5488, 1
3, 0xe1ec5a00, 0xb1900000, 0xe1800030, 0x00000030, 0x20, -29.5488, -1
3, 0xe1ec5a00, 0xd1b00000, 0x81a00030, 0x00000030, 0x20, -29.5488, -1
3, 0xe1ec5a00, 0xe1a00000, 0xb1b00030, 0x00000030, 0x20, -29.5488, 1
3, 0xe1ec5a00, 0xe1a00000, 0xe1800030, 0x00000030, 0x20, -28.1352, 1
3, 0xa1ec5a00, 0x81800000, 0x89880008, 0x00000008, 0x0c, -31.8707, 1
3, 0xa1ec5a00, 0x89780000, 0x81700008, 0x00000008, 0x0c, -31.8707, 1
3, 0xa1ec5a00, 0xe1a00000, 0xe9a80008, 0x00000008, 0x0c, -31.8707, -1
3, 0xa1ec5a00, 0xe9580000, 0xe1500008, 0x00000008, 0x0c, -31.8707, -1
3, 0xc1ec5a00, 0x81800000, 0x89880008, 0x00000008, 0x0c, -30.8707, 1
3, 0xc1ec5a00, 0x89780000, 0x81700008, 0x00000008, 0x0c, -30.8707, 1
3, 0xf1ec5a00, 0xb1900000, 0xb9980008, 0x00000008, 0x0c, -31.8707, -1
3, 0xf1ec5a00, 0xb9680000, 0xb1600008, 0x00000008, 0x0c, -31.8707, -1
3, 0xf1ec5a00, 0xe1a00000, 0xe9a80008, 0x00000008, 0x0c, -31.8707, -1
3, 0xf1ec5a00, 0xe9580000, 0xe1500008, 0x00000008, 0x0c, -31.8707, -1
3, 0x81ec5a00, 0x81800000, 0xa990000c, 0x0000000c, 0x08, -30.8707, -1
3, 0x81ec5a00, 0xe1a00000, 0xc9b0000c, 0x0000000c, 0x08, -30.8707, -1
3, 0xb1ec5a00, 0x81800000, 0xa990000c, 0x0000000c, 0x08, -31.8707, 1
3, 0xb1ec5a00, 0xb1900000, 0x9980000c, 0x0000000c, 0x08, -31.8707, -1
3, 0xb1ec5a00, 0xd1b00000, 0xf9a0000c, 0x0000000c, 0x08, -31.8707, -1
3, 0xb1ec5a00, 0xe1a00000, 0xc9b0000c, 0x0000000c, 0x08, -31.8707, 1
3, 0xe1ec5a00, 0x81800000, 0xf9a0000c, 0x0000000c, 0x08, -30.8707, -1
3, 0xe1ec5a00, 0xe1a00000, 0x9980000c, 0x0000000c, 0x08, -30.8707, -1
3, 0x81ec5a00, 0x81800000, 0xb1000058, 0x00000058, 0x58, -26.9502, 1
3, 0xb1ec5a00, 0x81800000, 0xb1000058, 0x00000058, 0x58, -27.5365, -1
3, 0xc1ec5a00, 0x81800000, 0xf1000078, 0x00000078, 0x78, -26.9502, -1
3, 0xf1ec5a00, 0x81800000, 0xf1000078, 0x00000078, 0x78, -27.5365, 1
3, 0x81ec5a00, 0x81800000, 0xa0000050, 0x00000050, 0x50, -30.9832, 1
3, 0x81ec5a00, 0x81800000, 0xe1c00050, 0x00000050, 0x50, -25.9832, -1
3, 0xb1ec5a00, 0x81800000, 0xa0000050, 0x00000050, 0x50, -31.9832, -1
3, 0xd1ec5a00, 0x81800000, 0xe1c00050, 0x00000050, 0x50, -27.9832, 1
3, 0xe1ec5a00, 0x81800000, 0xe1c00050, 0x00000050, 0x50, -26.5685, 1
3, 0x91ec5a00, 0x81800000, 0xa1c00070, 0x00000070, 0x70, -27.9832, -1
3, 0xa1ec5a00, 0x81800000, 0xa1c00070, 0x00000070, 0x70, -26.5685, -1
3, 0xc1ec5a00, 0x81800000, 0xa1c00070, 0x00000070, 0x70, -25.9832, -1
3, 0xc1ec5a00, 0x81800000, 0xe0000070, 0x00000070, 0x70, -30.9832, -1
3, 0xf1ec5a00, 0x81800000, 0xe0000070, 0x00000070, 0x70, -31.9832, 1
3, 0x91ec5a00, 0x81800000, 0xc1c00040, 0x00000040, 0x40, -27.1113, -1
3, 0xa1ec5a00, 0x81800000, 0x80000040, 0x00000040, 0x40, -31.1113, 1
3, 0xa1ec5a00, 0x81800000, 0xc1c00040, 0x00000040, 0x40, -26.1113, -1
3, 0xc1ec5a00, 0x81800000, 0x80000040, 0x00000040, 0x40, -30.1113, 1
3, 0xc1ec5a00, 0x81800000, 0xc1c00040, 0x00000040, 0x40, -24.6963, -1
3, 0xf1ec5a00, 0x81800000, 0xc1c00040, 0x00000040, 0x40, -28.1113, 1
3, 0x81ec5a00, 0x81800000, 0x81c00060, 0x00000060, 0x60, -24.6963, 1
3, 0x81ec5a00, 0x81800000, 0xc0000060, 0x00000060, 0x60, -30.1113, 1
3, 0xb1ec5a00, 0x81800000, 0x81c00060, 0x00000060, 0x60, -28.1113, -1
3, 0xd1ec5a00, 0x81800000, 0x81c00060, 0x00000060, 0x60, -27.1113, -1
3, 0xe1ec5a00, 0x81800000, 0x81c00060, 0x00000060, 0x60, -26.1113, -1
3, 0xe1ec5a00, 0x81800000, 0xc0000060, 0x00000060, 0x60, -31.1113, -1
3, 0x91ec5a00, 0x81800000, 0x91900010, 0x00000010, 0x10, -30.9139, -1
3, 0x91ec5a00, 0x81800000, 0xc1a00010, 0x00000010, 0x10, -28.3276, -1
3, 0x91ec5a00, 0xb1900000, 0xa1800010, 0x00000010, 0x10, -30.9139, 1
3, 0x91ec5a00, 0xd1b00000, 0xc1a00010, 0x00000010, 0x10, -30.9139, -1
3, 0x91ec5a00, 0xe1a00000, 0xf1b00010, 0x00000010, 0x10, -30.9139, 1
3, 0xa1ec5a00, 0x81800000, 0x91900010, 0x00000010, 0x10, -30.3276, -1
3, 0xa1ec5a00, 0x81800000, 0xc1a00010, 0x00000010, 0x10, -27.3276, -1
3, 0xa1ec5a00, 0xb1900000, 0xa1800010, 0x00000010, 0x10, -30.3276, 1
3, 0xa1ec5a00, 0xd1b00000, 0xc1a00010, 0x00000010, 0x10, -30.3276, -1
3, 0xa1ec5a00, 0xe1a00000, 0xa1800010, 0x00000010, 0x10, -28.9139, -1
3, 0xa1ec5a00, 0xe1a00000, 0xf1b00010, 0x00000010, 0x10, -30.3276, 1
3, 0xc1ec5a00, 0x81800000, 0x91900010, 0x00000010, 0x10, -29.3276, -1
3, 0xc1ec5a00, 0x81800000, 0xc1a00010, 0x00000010, 0x10, -25.9126, -1
3, 0xc1ec5a00, 0xd1b00000, 0xc1a00010, 0x00000010, 0x10, -29.3276, -1
3, 0xc1ec5a00, 0xe1a00000, 0xa1800010, 0x00000010, 0x10, -27.9129, 1
3, 0xf1ec5a00, 0x81800000, 0xc1a00010, 0x00000010, 0x10, -29.3276, 1
3, 0xf1ec5a00, 0xb1900000, 0xa1800010, 0x00000010, 0x10, -29.9139, 1
3, 0xf1ec5a00, 0xe1a00000, 0xa1800010, 0x00000010, 0x10, -29.3276, -1
3, 0xf1ec5a00, 0xe1a00000, 0xf1b00010, 0x00000010, 0x10, -29.9139, 1
0, 0xc1ec5a00, 0x80c00000, 0x81800082, 0x00000082, 0xc2, -31.3311, -1
3, 0x91ec5a00, 0x81800000, 0x850000c2, 0x000000c2, 0x82, -30.3311, -1
3, 0xa1ec5a00, 0x81800000, 0x850000c2, 0x000000c2, 0x82, -29.3311, -1
3, 0xc1ec5a00, 0x81800000, 0x850000c2, 0x000000c2, 0x82, -28.3311, -1
3, 0xc1ec5a00, 0x81800000, 0x89880008, 0x00000008, 0x08, -31.3561, -1
3, 0xc1ec5a00, 0x89780000, 0x81700008, 0x00000008, 0x08, -31.3561, -1
3, 0x81ec5a00, 0x81800000, 0xa990000c, 0x0000000c, 0x0c, -31.3561, -1
3, 0x81ec5a00, 0xe1a00000, 0xc9b0000c, 0x0000000c, 0x0c, -31.3561, -1
3, 0xe1ec5a00, 0x81800000, 0xf9a0000c, 0x0000000c, 0x0c, -31.3561, -1
3, 0xe1ec5a00, 0xe1a00000, 0x9980000c, 0x0000000c, 0x0c, -31.3561, -1
3, 0x81ec5a00, 0x81800000, 0x81820083, 0x00000083, 0xc3, -29.9521, 1
3, 0x81ec5a00, 0xe1a00000, 0xe1a20083, 0x00000083, 0xc3, -31.9523, -1
3, 0xe1ec5a00, 0x81800000, 0x81820083, 0x00000083, 0xc3, -31.3670, -1
0, 0xc1ec5a00, 0x81410000, 0xc14000c3, 0x000000c3, 0x83, -30.9521, 1
0, 0xc1ec5a00, 0xc1210000, 0x812000c3, 0x000000c3, 0x83, -30.9521, 1
1, 0xa1ec5a00, 0x80800000, 0x81000001, 0x00000001, 0x01, -31.4150, -1
1, 0xc1ec5a00, 0x80800000, 0x81000001, 0x00000001, 0x01, -30.4150, -1
3, 0x91ec5a00, 0x81800000, 0x91900010, 0x00000010, 0x18, -31.0318, 1
3, 0x91ec5a00, 0x81800000, 0xc1a00010, 0x00000010, 0x18, -28.4454, 1
3, 0x91ec5a00, 0xb1900000, 0xa1800010, 0x00000010, 0x18, -31.0318, -1
3, 0x91ec5a00, 0xd1b00000, 0xc1a00010, 0x00000010, 0x18, -31.0318, 1
3, 0x91ec5a00, 0xe1a00000, 0xf1b00010, 0x00000010, 0x18, -31.0318, -1
3, 0xa1ec5a00, 0x81800000, 0x91900010, 0x00000010, 0x18, -30.4454, 1
3, 0xa1ec5a00, 0x81800000, 0xc1a00010, 0x00000010, 0x18, -27.4454, 1
3, 0xa1ec5a00, 0xb1900000, 0xa1800010, 0x00000010, 0x18, -30.4454, -1
3, 0xa1ec5a00, 0xd1b00000, 0xc1a00010, 0x00000010, 0x18, -30.4454, 1
3, 0xa1ec5a00, 0xe1a00000, 0xa1800010, 0x00000010, 0x18, -29.0318, 1
3, 0xa1ec5a00, 0xe1a00000, 0xf1b00010, 0x00000010, 0x18, -30.4454, -1
3, 0xc1ec5a00, 0x81800000, 0x91900010, 0x00000010, 0x18, -29.4454, 1
3, 0xc1ec5a00, 0x81800000, 0xc1a00010, 0x00000010, 0x18, -26.0305, 1
3, 0xc1ec5a00, 0xd1b00000, 0xc1a00010, 0x00000010, 0x18, -29.4454, 1
3, 0xc1ec5a00, 0xe1a00000, 0xa1800010, 0x00000010, 0x18, -28.0307, -1
3, 0xf1ec5a00, 0x81800000, 0xc1a00010, 0x00000010, 0x18, -29.4454, -1
3, 0xf1ec5a00, 0xb1900000, 0xa1800010, 0x00000010, 0x18, -30.0318, -1
3, 0xf1ec5a00, 0xe1a00000, 0xa1800010, 0x00000010, 0x18, -29.4454, 1
3, 0xf1ec5a00, 0xe1a00000, 0xf1b00010, 0x00000010, 0x18, -30.0318, -1
3, 0xc1ec5a00, 0x81800000, 0xe9a00084, 0x00000084, 0x86, -30.4962, -1
3, 0xc1ec5a00, 0xe1a00000, 0x89800084, 0x00000084, 0x86, -30.4962, -1
3, 0xf1ec5a00, 0x81800000, 0xe9a00084, 0x00000084, 0x86, -31.4962, 1
3, 0xf1ec5a00, 0xe1a00000, 0x89800084, 0x00000084, 0x86, -31.4962, 1
3, 0x81ec5a00, 0x81800000, 0xc9c000c4, 0x000000c4, 0xc6, -28.4962, 1
3, 0xd1ec5a00, 0x81800000, 0xc9c000c4, 0x000000c4, 0xc6, -30.4962, -1
3, 0xe1ec5a00, 0x81800000, 0xc9c000c4, 0x000000c4, 0xc6, -29.4962, -1
3, 0x81ec5a00, 0x81800000, 0xb1880014, 0x00000014, 0x1c, -31.5081, 1
3, 0x81ec5a00, 0xb1900000, 0x81980014, 0x00000014, 0x1c, -31.5081, -1
3, 0x81ec5a00, 0xd1b00000, 0xe1b80014, 0x00000014, 0x1c, -31.5081, -1
3, 0x81ec5a00, 0xe1a00000, 0xd1a80014, 0x00000014, 0x1c, -31.5081, 1
3, 0xa1ec5a00, 0x81800000, 0x8990001c, 0x0000001c, 0x14, -31.5081, -1
3, 0xa1ec5a00, 0xe1a00000, 0xb980001c, 0x0000001c, 0x14, -30.5081, 1
3, 0xa1ec5a00, 0xe1a00000, 0xe9b0001c, 0x0000001c, 0x14, -31.5081, 1
3, 0xc1ec5a00, 0x81800000, 0x8990001c, 0x0000001c, 0x14, -30.5081, -1
3, 0xc1ec5a00, 0x81800000, 0xd9a0001c, 0x0000001c, 0x14, -31.5081, 1
3, 0xc1ec5a00, 0xe1a00000, 0xb980001c, 0x0000001c, 0x14, -31.5081, -1
3, 0xf1ec5a00, 0xb1900000, 0xb980001c, 0x0000001c, 0x14, -31.5081, -1
3, 0xf1ec5a00, 0xe1a00000, 0xe9b0001c, 0x0000001c, 0x14, -31.5081, 1
